lat,lng,OBJECTID,ID,Name,Type,Image_URL,floorLevel,X,Y,Z,UUID,Note
139.699660,35.658683,11,001,京王井の頭線中央口,gate_outside,,2,,,,,
139.699716,35.658774,12,002,券売機,ticket,,2,,,,,
139.699644,35.658761,13,003,駅長事務室 遺失物取扱所,counter,,,,,,,
139.699845,35.658807,14,004,定期券うりば,counter,,2,,,,,
139.699869,35.658500,15,005,コインロッカー,,,2,,,,,
139.699931,35.658482,16,006,バスターミナル方面出口（外側）,exit,,1,,,,,２Fから地上を結ぶ
139.701098,35.658923,17,,ハチ公方面,exit,,1,,,,,1.5Fから地上を結ぶ
139.701111,35.658764,18,,,ticket,,,,,,,
139.701119,35.658727,20,,玉川改札,gate_outside,,105,,,,,
139.701111,35.658764,19,,JR玉川改札券売機,ticket,,105,,,,,
139.700654,35.658843,23,,銀座線 ハチ公前交差点改札,gate_outside,,3,,,,,
139.700511,35.658854,24,,銀座線定期券うりば,counter,,3,,,,,
139.700565,35.658858,22,,銀座線 ハチ公前交差点改札,ticket,,3,,,,,
139.700170,35.658697,25,,岡本太郎「明日の希望」前（ハブ）,,,,,,,,
139.700946,35.658850,29,,玉川改札付近（ハブ）,,,105,,,,,
139.701106,35.658801,21,,忘れ物承り所,counter,,105,,,,,1.5F
139.699996,35.658756,31,,3Fスロープ上（ハブ）,,,3,,,,,
139.701037,35.658862,28,,出口〔ハチ公口〕（内側）,exit,,105,,,,,
139.699777,35.658514,27,,バスターミナル方面出口（内側）,exit,,2,,,,,
139.699875,35.658684,26,,井の頭線出口（ハブ）,,,,,,,,
139.700452,35.658817,32,,3Fスロープ下（ハブ）,,,3,,,,,
